State,District,Relief Camp / Shelter Name,Disaster Type,Precise Address / Location,Latitude,Longitude,Accommodation Capacity (persons),Actual Inmates / Evacuees,Camp Type,Year / Event,Source
Maharashtra,Mumbai City,Hindmata Flood Relief Camp,Flood,"Hindmata Junction, LBS Marg, Parel, Mumbai – 400012",19.0116,72.8398,5000,4000,Municipal school cluster,Annual monsoon floods; 2005 26/7,BMC Mumbai Disaster Plan; NDMA 2005
Maharashtra,Mumbai City,Dharavi-Kurla Mithi River Camp,Flood,"90 Feet Road, Dharavi, Mumbai – 400017",19.0478,72.851,15000,12000,Municipal school cluster,2005 26/7 Floods; annual,NDMA 2005; Wikipedia 2005 Maharashtra floods
Maharashtra,Mumbai City,Govandi Relief Camp,Flood,"Govandi Station Road, Govandi, Mumbai – 400043",19.0487,72.9313,3000,2500,Municipal school,Annual waterlogging; 2005,IRCS ReliefWeb Bulletin No.10 2005 (Govandi assessed)
Maharashtra,Mumbai City,Sakinaka Flood Camp (Kurla Ward L),Flood / Landslide,"Sakinaka Junction, Andheri East, Mumbai – 400072",19.0896,72.8876,2000,1800,Municipal school + community hall,2005 26/7; 2014 Malin slide,DNA India Jul 2014; NDMA 2005
Maharashtra,Mumbai City,Matunga Relief Camp (Ward F/C),Flood,"King's Circle, Matunga West, Mumbai – 400019",19.0207,72.8393,2000,1600,Municipal school,Annual waterlogging,BMC relief plan; NDMA
Maharashtra,Mumbai City,Andheri Flood Relief Camp (Ward K/E & K/W),Flood,"S V Road, Andheri West, Mumbai – 400058",19.1136,72.8697,3000,2500,Municipal school cluster,Annual; 2005 Andheri worst-hit,BMC; IRCS Bulletin 10 2005 (Andheri assessed)
Maharashtra,Mumbai City,Malad-Kandivali Flood Camp,Flood,"S V Road, Malad West, Mumbai – 400064",19.1862,72.8484,2000,1700,Municipal school cluster,Annual; 2005,BMC relief; NDMA 2005
Maharashtra,Mumbai City,Ghatkopar Flood Camp (Ward N),Flood,"LBS Marg, Ghatkopar West, Mumbai – 400086",19.076,72.9101,2500,2000,Municipal school,Annual; 2005 Ghatkopar waterlogged,BMC Mumbai; IRCS Bulletin 10 2005
Maharashtra,Mumbai Suburban,Thane Flood Relief Camp,Flood,"Thane Municipal Corporation, Mula Matha Road, Thane – 400601",19.2183,72.9781,5000,4000,Municipal school cluster,2021 MH floods; annual,NDRF MH deployment 2021; NDMA
Maharashtra,Mumbai Suburban,Bhiwandi Flood Camp,Flood,"Bhiwandi Municipal Office, MG Road, Bhiwandi, Thane – 421302",19.3006,73.0633,3000,2500,Municipal school cluster,Annual Ulhas flooding,Maharashtra SDMA / CWC
Maharashtra,Mumbai Suburban,Kalyan-Dombivli Flood Camp,Flood,"Kalyan Municipal Building, Durga Mata Road, Kalyan – 421301",19.2403,73.1305,3000,2500,Municipal school cluster,Annual waterlogging,Maharashtra SDMA
Maharashtra,Palghar,Palghar Tribal Flood Camp,Flood / Cyclone,"Palghar Municipal Council, Station Road, Palghar – 401404",19.6967,72.7697,2000,1600,Govt school + tribal community hall,2021 MH floods; Cyclone Tauktae 2021,NDMA MH 2021; NDRF 26 teams 2021
Maharashtra,Palghar,Dahanu-Talasari Coastal Camp,Flood / Cyclone,"Dahanu Municipal Building, Dahanu Road Station, Dahanu – 401602",19.9782,72.7132,1500,1200,Govt school,Cyclone Tauktae 2021; annual coastal,Maharashtra SDMA Tauktae 2021
Maharashtra,Raigad,Mahad Flood Relief Camp (2021 Landslide),Flood / Landslide,"Mahad Municipal Council, NH-66, Mahad, Raigad – 402301",18.0411,73.4157,5000,4200,Govt school + community hall,2021 Maharashtra Floods Jul,Wikipedia 2021 MH floods; NDMA
Maharashtra,Raigad,Poladpur Flood Camp,Flood / Landslide,"Gram Panchayat Office, Poladpur, Raigad – 402303",18.236,73.4196,2000,1600,Govt school,2021 MH floods (SRMD operated Mahad & Poladpur),SRMD Sep 2021 report
Maharashtra,Raigad,Mangaon Relief Camp,Flood,"Mangaon Tahsildar Office, Mangaon, Raigad – 402104",18.2379,73.2669,2000,1600,Tahsildar office + school,2021 MH floods (Ratnanidhi supplies at Mangaon office),Ratnanidhi.org 2021
Maharashtra,Raigad,Alibag Cyclone Camp,Cyclone,"Alibag Collectorate, Dr Babasaheb Ambedkar Rd, Alibag – 402201",18.6414,72.8723,2000,1600,Govt school + Tahsildar office,Cyclone Nisarga 2020; Tauktae 2021,Maharashtra SDMA 2020 Nisarga
Maharashtra,Raigad,Roha Flood Camp,Flood,"Roha Municipal Council, Station Road, Roha, Raigad – 402109",18.4387,73.1188,1500,1200,Govt school,Annual Kundalika flooding,Maharashtra SDMA
Maharashtra,Ratnagiri,Chiplun Flood Relief Camp,Flood,"Chiplun Bus Stand Area, NH-66, Chiplun, Ratnagiri – 415605",17.531,73.5146,4000,3500,Govt building + school,2021 MH floods Jul,NDMA Jul 2021; Sewa Canada MH
Maharashtra,Ratnagiri,Ratnagiri Town Camp,Flood,"District Collectorate, Ratnagiri – 415612",16.9902,73.312,2000,1600,Municipal school,2021 MH floods; annual,Maharashtra SDMA 2021
Maharashtra,Ratnagiri,Khed Flood Camp,Flood,"Khed Tahsil Office, Khed, Ratnagiri – 415709",17.7184,73.3857,1500,1200,Govt school,Annual flooding; 2021,Maharashtra SDMA
Maharashtra,Ratnagiri,Guhagar Coastal Camp,Flood / Cyclone,"Guhagar Beach Road, Guhagar, Ratnagiri – 415703",17.5308,73.2039,1000,800,Govt school,Annual NE monsoon; Cyclone Tauktae,Maharashtra SDMA
Maharashtra,Sindhudurg,Kankavli Flood Camp,Flood,"Kankavli Bus Stand, Kankavli, Sindhudurg – 416602",16.4115,73.7087,2000,1600,Govt school + panchayat hall,2021 MH floods,NDMA 2021; IAHV MH 2021
Maharashtra,Sindhudurg,Kudal Flood Camp,Flood,"Kudal Municipal Council, Kudal, Sindhudurg – 416520",16.0614,73.6895,1500,1200,Govt school,2021 MH floods; annual,Maharashtra SDMA 2021
Maharashtra,Sindhudurg,Sawantwadi Coastal Camp,Flood / Cyclone,"Sawantwadi Municipal Council, Sawantwadi – 416510",15.8601,73.8267,1500,1200,Govt school,Annual; Cyclone Tauktae 2021,Maharashtra SDMA
Maharashtra,Kolhapur,Kolhapur Panchaganga Flood Camp,Flood,"Rajarampuri, Near Rankala Lake, Kolhapur – 416008",16.6981,74.2325,6000,5000,Govt school + indoor stadium,2019 & 2021 floods (1.5L evacuated Sangli-Kolhapur total),ReliefWeb DREF 2019; Naam Foundation 2019
